,driverID,race,qualipos,racepos
201,herbert,3,8,17
202,irvine,3,7,21
203,katayama,3,21,16
205,magnussen,3,15,15
206,michael_schumacher,3,4,2
207,nakano,3,20,7
209,ralf_schumacher,3,6,5
210,salo,3,19,13
211,trulli,3,18,4
212,verstappen,3,16,10
213,villeneuve,3,1,14
214,alesi,4,14,6
215,barrichello,4,13,12
216,berger,4,11,1
217,coulthard,4,10,19
218,damon_hill,4,15,8
219,diniz,4,17,18
220,fisichella,4,6,11
221,frentzen,4,2,20
222,hakkinen,4,8,3
223,herbert,4,7,17
224,irvine,4,9,21
225,katayama,4,22,16
227,magnussen,4,16,15
228,michael_schumacher,4,3,2
229,nakano,4,18,7
231,ralf_schumacher,4,5,5
232,salo,4,19,13
233,trulli,4,20,4
234,verstappen,4,21,10
235,villeneuve,4,1,14
236,alesi,5,9,6
237,barrichello,5,10,12
238,berger,5,17,1
239,coulthard,5,5,19
240,damon_hill,5,13,8
241,diniz,5,16,18
242,fisichella,5,4,11
243,frentzen,5,1,20
244,hakkinen,5,8,3
245,herbert,5,7,17
246,irvine,5,15,21
247,katayama,5,20,16
249,magnussen,5,19,15
250,michael_schumacher,5,2,2
251,nakano,5,21,7
253,ralf_schumacher,5,6,5
254,salo,5,14,13
255,trulli,5,18,4
256,verstappen,5,22,10
257,villeneuve,5,3,14
258,alesi,6,4,6
259,barrichello,6,17,12
260,berger,6,6,1
261,coulthard,6,3,19
262,damon_hill,6,15,8
263,diniz,6,21,18
264,fisichella,6,8,11
265,frentzen,6,2,20
266,hakkinen,6,5,3
267,herbert,6,10,17
268,irvine,6,11,21
269,katayama,6,20,16
270,magnussen,6,22,15
271,michael_schumacher,6,7,2
273,nakano,6,16,7
275,ralf_schumacher,6,9,5
276,salo,6,14,13
277,trulli,6,18,4
278,verstappen,6,19,10
279,villeneuve,6,1,14
280,alesi,7,8,6
281,barrichello,7,3,12
282,coulthard,7,5,19
283,damon_hill,7,15,8
284,diniz,7,16,18
285,fisichella,7,6,11
286,frentzen,7,4,20
287,hakkinen,7,9,3
288,herbert,7,13,17
289,irvine,7,12,21
290,katayama,7,22,16
291,magnussen,7,21,15
292,michael_schumacher,7,1,2
294,nakano,7,19,7
296,ralf_schumacher,7,7,5
297,salo,7,17,13
298,trulli,7,20,4
299,verstappen,7,14,10
300,villeneuve,7,2,14
302,alesi,8,8,6
303,barrichello,8,12,12
304,coulthard,8,9,19
305,damon_hill,8,17,8
306,diniz,8,16,18
307,fisichella,8,11,11
308,fontana,8,20,9
309,frentzen,8,2,20
310,hakkinen,8,10,3
311,herbert,8,14,17
312,irvine,8,5,21
313,katayama,8,21,16
314,magnussen,8,15,15
315,marques,8,22,22
316,michael_schumacher,8,1,2
317,nakano,8,13,7
318,ralf_schumacher,8,3,5
319,salo,8,19,13
320,trulli,8,6,4
321,verstappen,8,18,10
322,villeneuve,8,4,14
324,alesi,9,11,6
325,barrichello,9,21,12
326,coulthard,9,6,19
327,damon_hill,9,12,8
328,diniz,9,16,18
329,fisichella,9,10,11
330,fontana,9,22,9
331,frentzen,9,2,20
332,hakkinen,9,3,3
333,herbert,9,9,17
334,irvine,9,7,21
335,katayama,9,18,16
336,magnussen,9,15,15
337,marques,9,20,22
338,michael_schumacher,9,4,2
339,nakano,9,14,7
340,ralf_schumacher,9,5,5
341,salo,9,17,13
342,trulli,9,13,4
343,verstappen,9,19,10
344,villeneuve,9,1,14
346,alesi,10,6,6
347,barrichello,10,12,12
348,berger,10,1,1
349,coulthard,10,8,19
350,damon_hill,10,13,8
351,diniz,10,16,18
352,fisichella,10,2,11
353,fontana,10,18,9
354,frentzen,10,5,20
355,hakkinen,10,3,3
356,herbert,10,14,17
357,irvine,10,10,21
358,katayama,10,22,16
359,magnussen,10,15,15
360,marques,10,21,22
361,michael_schumacher,10,4,2
362,nakano,10,17,7
363,ralf_schumacher,10,7,5
364,salo,10,19,13
365,trulli,10,11,4
366,verstappen,10,20,10
367,villeneuve,10,9,14
368,alesi,1,12,5
369,barrichello,1,14,10
370,coulthard,1,2,6
371,damon_hill,1,10,8
372,diniz,1,20,22
373,fisichella,1,7,7
374,frentzen,1,6,9
375,hakkinen,1,1,2
376,herbert,1,5,18
377,irvine,1,8,3
378,magnussen,1,18,21
379,michael_schumacher,1,3,1
380,nakano,1,22,13
381,panis,1,21,15
382,ralf_schumacher,1,9,19
383,rosset,1,19,14
384,salo,1,16,20
385,takagi,1,13,12
386,trulli,1,15,11
387,tuero,1,17,16
388,villeneuve,1,4,17
389,wurz,1,11,4
390,alesi,2,15,5
391,barrichello,2,13,10
392,coulthard,2,2,6
393,damon_hill,2,11,8
394,diniz,2,22,22
395,fisichella,2,7,7
396,frentzen,2,3,9
397,hakkinen,2,1,2
398,herbert,2,14,18
399,irvine,2,6,3
400,magnussen,2,16,21
401,michael_schumacher,2,4,1
402,nakano,2,18,13
403,panis,2,9,15
404,ralf_schumacher,2,8,19
405,rosset,2,21,14
406,salo,2,20,20
407,takagi,2,17,12
408,trulli,2,12,11
409,tuero,2,19,16
410,villeneuve,2,10,17
411,wurz,2,5,4
412,alesi,3,11,5
413,barrichello,3,14,10
414,coulthard,3,1,6
415,damon_hill,3,9,8
416,diniz,3,18,22
417,fisichella,3,10,7
418,frentzen,3,6,9
419,hakkinen,3,3,2
420,herbert,3,12,18
421,irvine,3,4,3
422,magnussen,3,22,21
423,michael_schumacher,3,2,1
424,nakano,3,19,13
425,panis,3,15,15
426,ralf_schumacher,3,5,19
427,rosset,3,21,14
428,salo,3,17,20
429,takagi,3,13,12
430,trulli,3,16,11
431,tuero,3,20,16
432,villeneuve,3,7,17
433,wurz,3,8,4
434,alesi,1,16,6
435,badoer,1,21,8
436,barrichello,1,4,3
437,coulthard,1,2,2
438,damon_hill,1,9,4
439,diniz,1,14,12
440,fisichella,1,7,5
441,frentzen,1,5,15
442,gene,1,22,9
443,hakkinen,1,1,18
444,herbert,1,13,10
445,irvine,1,6,14
446,michael_schumacher,1,3,1
447,panis,1,20,13
448,ralf_schumacher,1,8,17
449,rosa,1,18,19
450,takagi,1,17,16
451,trulli,1,12,22
452,villeneuve,1,11,21
453,wurz,1,10,20
454,zanardi,1,15,11
456,alesi,2,14,6
457,barrichello,2,3,3
458,coulthard,2,2,2
459,damon_hill,2,7,4
460,diniz,2,15,12
461,fisichella,2,5,5
462,frentzen,2,8,15
463,gene,2,20,9
464,hakkinen,2,1,18
465,herbert,2,10,10
466,irvine,2,6,14
467,michael_schumacher,2,4,1
468,panis,2,12,13
469,ralf_schumacher,2,11,17
470,rosa,2,18,19
472,takagi,2,19,16
473,trulli,2,13,22
474,villeneuve,2,21,21
475,wurz,2,9,20
476,zanardi,2,16,11
477,alesi,3,13,6
478,badoer,3,22,8
479,barrichello,3,6,3
480,coulthard,3,2,2
481,damon_hill,3,8,4
482,diniz,3,15,12
483,fisichella,3,16,5
484,frentzen,3,7,15
485,gene,3,21,9
486,hakkinen,3,1,18
487,herbert,3,12,10
488,irvine,3,4,14
489,michael_schumacher,3,3,1
490,panis,3,11,13
491,ralf_schumacher,3,9,17
492,rosa,3,18,19
493,salo,3,19,7
494,takagi,3,20,16
495,trulli,3,14,22
496,villeneuve,3,5,21
497,wurz,3,17,20
498,zanardi,3,10,11
499,alesi,1,17,16
500,barrichello,1,4,2
501,button,1,21,11
502,coulthard,1,2,19
503,diniz,1,19,12
504,fisichella,1,9,5
505,frentzen,1,5,14
506,gene,1,18,8
507,hakkinen,1,1,17
508,heidfeld,1,15,9
509,herbert,1,20,22
510,irvine,1,7,21
511,mazzacane,1,22,13
512,michael_schumacher,1,3,1
513,ralf_schumacher,1,11,3
514,rosa,1,12,20
515,salo,1,10,10
516,trulli,1,6,15
517,verstappen,1,13,18
518,villeneuve,1,8,4
519,wurz,1,14,7
520,zonta,1,16,6
521,alonso,1,10,18
522,barrichello,1,2,1
523,button,1,8,4
524,coulthard,1,11,3
525,firman,1,17,14
526,fisichella,1,13,17
527,frentzen,1,4,19
528,heidfeld,1,7,9
529,matta,1,16,7
530,michael_schumacher,1,1,8
531,montoya,1,3,20
532,panis,1,5,10
534,raikkonen,1,15,2
535,ralf_schumacher,1,9,12
536,trulli,1,12,5
537,verstappen,1,20,15
539,webber,1,14,11
540,wilson,1,19,13
541,alonso,2,1,18
542,barrichello,2,5,1
543,button,2,9,4
544,coulthard,2,4,3
545,firman,2,20,14
546,fisichella,2,14,17
547,frentzen,2,13,19
548,heidfeld,2,6,9
549,matta,2,11,7
550,michael_schumacher,2,3,8
551,montoya,2,8,20
552,panis,2,10,10
554,raikkonen,2,7,2
555,ralf_schumacher,2,17,12
556,trulli,2,2,5
557,verstappen,2,18,15
559,webber,2,16,11
560,wilson,2,19,13
561,alonso,3,10,18
562,barrichello,3,1,1
563,button,3,11,4
564,coulthard,3,2,3
565,firman,3,16,14
566,fisichella,3,8,17
567,frentzen,3,14,19
568,heidfeld,3,12,9
569,matta,3,18,7
570,michael_schumacher,3,7,8
571,montoya,3,9,20
572,panis,3,15,10
574,raikkonen,3,4,2
575,ralf_schumacher,3,6,12
576,trulli,3,5,5
577,verstappen,3,19,15
579,webber,3,3,11
580,wilson,3,20,13
581,alonso,4,8,18
582,barrichello,4,3,1
583,button,4,9,4
584,coulthard,4,12,3
585,firman,4,19,14
586,fisichella,4,17,17
587,frentzen,4,14,19
588,heidfeld,4,11,9
589,matta,4,13,7
590,michael_schumacher,4,1,8
591,montoya,4,4,20
592,panis,4,10,10
594,raikkonen,4,6,2
595,ralf_schumacher,4,2,12
596,trulli,4,16,5
597,verstappen,4,20,15
599,webber,4,5,11
600,wilson,4,18,13
601,alonso,5,3,18
602,barrichello,5,2,1
603,button,5,5,4
604,coulthard,5,8,3
605,firman,5,15,14
606,fisichella,5,17,17
607,frentzen,5,10,19
608,heidfeld,5,14,9
609,matta,5,13,7
610,michael_schumacher,5,1,8
611,montoya,5,9,20
612,panis,5,6,10
614,raikkonen,5,20,2
615,ralf_schumacher,5,7,12
616,trulli,5,4,5
617,verstappen,5,19,15
619,webber,5,12,11
620,wilson,5,18,13
621,alonso,6,19,18
622,barrichello,6,5,1
623,button,6,7,4
624,coulthard,6,14,3
625,firman,6,16,14
626,fisichella,6,9,17
627,frentzen,6,15,19
628,heidfeld,6,4,9
629,matta,6,13,7
630,michael_schumacher,6,1,8
631,montoya,6,3,20
632,panis,6,11,10
634,raikkonen,6,2,2
635,ralf_schumacher,6,10,12
636,trulli,6,6,5
637,verstappen,6,20,15
639,webber,6,17,11
640,wilson,6,18,13
641,alonso,7,8,18
642,barrichello,7,7,1
643,button,7,20,4
644,coulthard,7,6,3
645,firman,7,16,14
646,fisichella,7,12,17
647,frentzen,7,15,19
648,heidfeld,7,14,9
649,matta,7,10,7
650,michael_schumacher,7,5,8
651,montoya,7,3,20
652,panis,7,17,10
654,raikkonen,7,2,2
655,ralf_schumacher,7,1,12
656,trulli,7,4,5
657,verstappen,7,18,15
659,webber,7,9,11
660,wilson,7,19,13
661,alonso,8,4,18
662,barrichello,8,5,1
663,button,8,17,4
664,coulthard,8,11,3
665,firman,8,19,14
666,fisichella,8,16,17
667,frentzen,8,10,19
668,heidfeld,8,12,9
669,matta,8,9,7
670,michael_schumacher,8,3,8
671,montoya,8,2,20
672,panis,8,7,10
674,raikkonen,8,20,2
675,ralf_schumacher,8,1,12
676,trulli,8,8,5
677,verstappen,8,15,15
679,webber,8,6,11
680,wilson,8,18,13
681,alonso,9,8,18
682,barrichello,9,5,1
683,button,9,12,4
684,coulthard,9,9,3
685,firman,9,14,14
686,fisichella,9,13,17
687,frentzen,9,15,19
688,heidfeld,9,20,9
689,matta,9,10,7
690,michael_schumacher,9,2,8
691,montoya,9,4,20
692,panis,9,7,10
694,raikkonen,9,1,2
695,ralf_schumacher,9,3,12
696,trulli,9,6,5
697,verstappen,9,18,15
699,webber,9,11,11
700,wilson,9,19,13
701,alonso,10,7,18
702,barrichello,10,8,1
703,button,10,14,4
704,coulthard,10,5,3
705,firman,10,18,14
706,fisichella,10,17,17
707,frentzen,10,16,19
708,heidfeld,10,15,9
709,matta,10,13,7
710,michael_schumacher,10,3,8
711,montoya,10,2,20
712,panis,10,10,10
714,raikkonen,10,4,2
715,ralf_schumacher,10,1,12
716,trulli,10,6,5
717,verstappen,10,19,15
719,webber,10,9,11
720,wilson,10,20,13
721,alonso,11,8,18
722,barrichello,11,1,1
723,button,11,20,4
724,coulthard,11,12,3
725,firman,11,17,14
726,fisichella,11,15,17
727,frentzen,11,14,19
728,heidfeld,11,16,9
729,matta,11,6,7
730,michael_schumacher,11,5,8
731,montoya,11,7,20
732,panis,11,13,10
734,raikkonen,11,3,2
735,ralf_schumacher,11,4,12
736,trulli,11,2,5
737,verstappen,11,19,15
739,webber,11,11,11
740,wilson,11,18,13
741,alonso,12,8,18
742,barrichello,12,3,1
743,button,12,17,4
744,coulthard,12,10,3
745,firman,12,18,14
746,fisichella,12,12,17
747,frentzen,12,14,19
748,heidfeld,12,15,9
749,kiesa,12,20,16
750,matta,12,9,7
751,michael_schumacher,12,6,8
752,montoya,12,1,20
753,panis,12,7,10
754,raikkonen,12,5,2
755,ralf_schumacher,12,2,12
756,trulli,12,4,5
757,verstappen,12,19,15
759,webber,12,11,11
760,wilson,12,16,13
761,alonso,13,1,18
762,barrichello,13,5,1
764,button,13,14,4
765,coulthard,13,9,3
766,fisichella,13,13,17
767,frentzen,13,17,19
768,heidfeld,13,11,9
769,kiesa,13,20,16
770,matta,13,15,7
771,michael_schumacher,13,8,8
772,montoya,13,4,20
773,panis,13,10,10
774,raikkonen,13,7,2
775,ralf_schumacher,13,2,12
776,trulli,13,6,5
777,verstappen,13,18,15
779,webber,13,3,11
780,wilson,13,12,13
781,alonso,14,20,18
782,barrichello,14,3,1
784,button,14,7,4
785,coulthard,14,8,3
786,fisichella,14,13,17
787,frentzen,14,14,19
789,heidfeld,14,16,9
790,kiesa,14,19,16
791,matta,14,12,7
792,michael_schumacher,14,1,8
793,montoya,14,2,20
794,panis,14,9,10
795,raikkonen,14,4,2
796,trulli,14,6,5
797,verstappen,14,17,15
799,webber,14,11,11
800,wilson,14,15,13
801,alonso,15,6,18
802,barrichello,15,2,1
803,button,15,11,4
804,coulthard,15,8,3
805,firman,15,18,14
806,fisichella,15,17,17
807,frentzen,15,15,19
808,heidfeld,15,13,9
809,kiesa,15,20,16
810,matta,15,9,7
811,michael_schumacher,15,7,8
812,montoya,15,4,20
813,panis,15,3,10
814,raikkonen,15,1,2
815,ralf_schumacher,15,5,12
816,trulli,15,10,5
817,verstappen,15,19,15
819,webber,15,14,11
820,wilson,15,16,13
821,alonso,16,5,18
822,barrichello,16,1,1
823,button,16,9,4
824,coulthard,16,7,3
825,firman,16,15,14
826,fisichella,16,16,17
827,frentzen,16,12,19
828,heidfeld,16,11,9
829,kiesa,16,18,16
830,matta,16,3,7
831,michael_schumacher,16,14,8
832,montoya,16,2,20
833,panis,16,4,10
834,raikkonen,16,8,2
835,ralf_schumacher,16,19,12
836,sato,16,13,6
837,trulli,16,20,5
838,verstappen,16,17,15
839,webber,16,6,11
840,wilson,16,10,13
841,alonso,1,5,4
842,barrichello,1,2,3
843,baumgartner,1,17,16
844,bruni,1,20,17
845,button,1,4,20
846,coulthard,1,12,11
847,fisichella,1,14,9
848,heidfeld,1,15,19
849,klien,1,19,14
850,massa,1,11,8
852,michael_schumacher,1,1,7
853,montoya,1,3,1
856,raikkonen,1,10,2
857,ralf_schumacher,1,8,5
858,sato,1,7,6
859,trulli,1,9,12
860,webber,1,6,18
861,alonso,2,19,4
862,barrichello,2,3,3
863,baumgartner,2,17,16
864,bruni,2,16,17
865,button,2,6,20
866,coulthard,2,9,11
867,fisichella,2,12,9
868,heidfeld,2,15,19
869,klien,2,13,14
870,massa,2,11,8
872,michael_schumacher,2,1,7
873,montoya,2,4,1
876,raikkonen,2,5,2
877,ralf_schumacher,2,7,5
878,sato,2,20,6
879,trulli,2,8,12
880,webber,2,2,18
881,alonso,3,17,4
882,barrichello,3,2,3
883,baumgartner,3,19,16
884,bruni,3,18,17
885,button,3,6,20
886,coulthard,3,10,11
887,fisichella,3,11,9
888,heidfeld,3,15,19
889,klien,3,12,14
890,massa,3,13,8
892,michael_schumacher,3,1,7
893,montoya,3,3,1
896,raikkonen,3,20,2
897,ralf_schumacher,3,4,5
898,sato,3,5,6
899,trulli,3,7,12
900,webber,3,14,18
901,alonso,4,6,4
902,barrichello,4,4,3
903,baumgartner,4,18,16
904,bruni,4,17,17
905,button,4,1,20
906,coulthard,4,11,11
907,fisichella,4,19,9
908,heidfeld,4,16,19
909,klien,4,14,14
910,massa,4,12,8
912,michael_schumacher,4,2,7
913,montoya,4,3,1
916,raikkonen,4,20,2
917,ralf_schumacher,4,5,5
918,sato,4,7,6
919,trulli,4,9,12
920,webber,4,8,18
921,alonso,5,8,4
922,barrichello,5,5,3
923,baumgartner,5,20,16
924,bruni,5,18,17
925,button,5,14,20
926,coulthard,5,10,11
927,fisichella,5,12,9
928,heidfeld,5,15,19
929,klien,5,16,14
930,massa,5,17,8
932,michael_schumacher,5,1,7
933,montoya,5,2,1
936,raikkonen,5,13,2
937,ralf_schumacher,5,6,5
938,sato,5,3,6
939,trulli,5,4,12
940,webber,5,9,18
941,alonso,6,4,4
942,barrichello,6,7,3
943,baumgartner,6,19,16
944,bruni,6,20,17
945,button,6,3,20
946,coulthard,6,9,11
947,fisichella,6,11,9
948,heidfeld,6,17,19
949,klien,6,14,14
950,massa,6,16,8
952,michael_schumacher,6,5,7
953,montoya,6,10,1
956,raikkonen,6,6,2
957,ralf_schumacher,6,2,5
958,sato,6,8,6
959,trulli,6,1,12
960,webber,6,12,18
961,alonso,7,6,4
962,barrichello,7,7,3
963,baumgartner,7,17,16
964,bruni,7,20,17
965,button,7,5,20
966,coulthard,7,18,11
967,fisichella,7,19,9
968,heidfeld,7,13,19
969,klien,7,12,14
970,massa,7,16,8
972,michael_schumacher,7,1,7
973,montoya,7,8,1
976,raikkonen,7,4,2
977,ralf_schumacher,7,9,5
978,sato,7,2,6
979,trulli,7,3,12
980,webber,7,14,18
981,alonso,8,5,4
982,barrichello,8,7,3
983,baumgartner,8,18,16
984,bruni,8,20,17
985,button,8,2,20
986,coulthard,8,9,11
987,fisichella,8,11,9
988,glock,8,16,15
989,heidfeld,8,15,19
990,klien,8,10,14
991,massa,8,19,8
993,michael_schumacher,8,6,7
994,montoya,8,4,1
996,raikkonen,8,8,2
997,ralf_schumacher,8,1,5
998,sato,8,17,6
999,trulli,8,3,12
1000,webber,8,14,18
1001,alonso,9,9,4
1002,barrichello,9,1,3
1003,baumgartner,9,19,16
1004,bruni,9,18,17
1005,button,9,4,20
1006,coulthard,9,12,11
1007,fisichella,9,14,9
1008,heidfeld,9,16,19
1009,klien,9,13,14
1010,massa,9,15,8
1012,michael_schumacher,9,2,7
1013,montoya,9,5,1
1016,raikkonen,9,7,2
1017,ralf_schumacher,9,6,5
1018,sato,9,3,6
1019,trulli,9,20,12
1020,webber,9,10,18
1021,alonso,10,1,4
1022,barrichello,10,10,3
1023,baumgartner,10,20,16
1024,bruni,10,19,17
1025,button,10,4,20
1026,coulthard,10,3,11
1027,fisichella,10,15,9
1029,heidfeld,10,17,19
1030,klien,10,13,14
1031,massa,10,16,8
1033,michael_schumacher,10,2,7
1034,montoya,10,6,1
1037,raikkonen,10,9,2
1038,sato,10,7,6
1039,trulli,10,5,12
1040,webber,10,12,18
1041,alonso,11,6,4
1042,barrichello,11,2,3
1043,baumgartner,11,19,16
1044,bruni,11,18,17
1045,button,11,3,20
1046,coulthard,11,7,11
1047,fisichella,11,20,9
1049,heidfeld,11,17,19
1050,klien,11,15,14
1051,massa,11,11,8
1053,michael_schumacher,11,4,7
1054,montoya,11,8,1
1057,raikkonen,11,1,2
1058,sato,11,9,6
1059,trulli,11,5,12
1060,webber,11,10,18
1061,alonso,12,6,4
1062,barrichello,12,8,3
1063,baumgartner,12,20,16
1064,bruni,12,19,17
1065,button,12,3,20
1066,coulthard,12,5,11
1067,fisichella,12,14,9
1068,heidfeld,12,18,19
1069,klien,12,13,14
1070,massa,12,16,8
1072,michael_schumacher,12,1,7
1073,montoya,12,2,1
1077,raikkonen,12,4,2
1078,sato,12,9,6
1079,trulli,12,7,12
1080,webber,12,12,18
1081,alonso,13,5,4
1082,barrichello,13,2,3
1083,baumgartner,13,18,16
1084,bruni,13,19,17
1085,button,13,4,20
1086,coulthard,13,12,11
1087,fisichella,13,8,9
1088,heidfeld,13,16,19
1089,klien,13,14,14
1090,massa,13,20,8
1091,michael_schumacher,13,1,7
1092,montoya,13,7,1
1096,raikkonen,13,10,2
1097,sato,13,3,6
1098,trulli,13,9,12
1099,webber,13,11,18
1100,zonta,13,15,13
1101,alonso,14,3,4
1102,barrichello,14,6,3
1103,baumgartner,14,18,16
1104,bruni,14,17,17
1105,button,14,12,20
1106,coulthard,14,4,11
1107,fisichella,14,5,9
1108,heidfeld,14,16,19
1109,klien,14,13,14
1110,massa,14,8,8
1111,michael_schumacher,14,2,7
1112,montoya,14,11,1
1116,raikkonen,14,10,2
1117,sato,14,15,6
1118,trulli,14,1,12
1119,webber,14,7,18
1120,zonta,14,20,13
1121,alonso,15,4,4
1122,barrichello,15,1,3
1123,baumgartner,15,19,16
1124,bruni,15,20,17
1125,button,15,6,20
1126,coulthard,15,10,11
1127,fisichella,15,15,9
1128,heidfeld,15,17,19
1129,klien,15,14,14
1130,massa,15,16,8
1131,michael_schumacher,15,3,7
1132,montoya,15,2,1
1136,raikkonen,15,7,2
1137,sato,15,5,6
1138,trulli,15,9,12
1139,webber,15,12,18
1140,zonta,15,11,13
1141,alonso,16,6,4
1142,barrichello,16,1,3
1143,baumgartner,16,18,16
1144,bruni,16,19,17
1145,button,16,3,20
1146,coulthard,16,10,11
1147,fisichella,16,7,9
1148,glock,16,17,15
1149,heidfeld,16,15,19
1150,klien,16,16,14
1151,massa,16,4,8
1152,michael_schumacher,16,20,7
1153,montoya,16,11,1
1155,raikkonen,16,2,2
1156,ralf_schumacher,16,5,5
1157,sato,16,9,6
1158,villeneuve,16,13,10
1159,webber,16,12,18
1160,zonta,16,14,13
1161,alonso,17,11,4
1162,barrichello,17,15,3
1163,baumgartner,17,19,16
1164,bruni,17,18,17
1165,button,17,5,20
1166,coulthard,17,8,11
1167,fisichella,17,7,9
1168,glock,17,17,15
1169,heidfeld,17,16,19
1170,klien,17,14,14
1171,massa,17,20,8
1172,michael_schumacher,17,1,7
1173,montoya,17,13,1
1175,raikkonen,17,12,2
1176,ralf_schumacher,17,2,5
1177,sato,17,4,6
1178,trulli,17,6,12
1179,villeneuve,17,9,10
1180,webber,17,3,18
1181,alonso,18,9,4
1182,barrichello,18,1,3
1183,baumgartner,18,19,16
1184,bruni,18,20,17
