,name,points,constructorID,year
0,Renault,206,renault,2006
1,Ferrari,201,ferrari,2006
2,McLaren,110,mclaren,2006
3,Honda,86,honda,2006
4,BMW Sauber,36,bmw_sauber,2006
5,Toyota,35,toyota,2006
6,Red Bull,16,red_bull,2006
7,Williams,11,williams,2006
8,Toro Rosso,1,toro_rosso,2006
9,MF1,0,mf1,2006
10,Super Aguri,0,super_aguri,2006
11,Spyker MF1,0,spyker_mf1,2006
0,Ferrari,204,ferrari,2007
1,BMW Sauber,101,bmw_sauber,2007
2,Renault,51,renault,2007
3,Williams,33,williams,2007
4,Red Bull,24,red_bull,2007
5,Toyota,13,toyota,2007
6,Toro Rosso,8,toro_rosso,2007
7,Honda,6,honda,2007
8,Super Aguri,4,super_aguri,2007
9,Spyker,1,spyker,2007
10,McLaren,118,mclaren,2007
0,Ferrari,172,ferrari,2008
1,McLaren,151,mclaren,2008
2,BMW Sauber,135,bmw_sauber,2008
3,Renault,80,renault,2008
4,Toyota,56,toyota,2008
5,Toro Rosso,39,toro_rosso,2008
6,Red Bull,29,red_bull,2008
7,Williams,26,williams,2008
8,Honda,14,honda,2008
9,Force India,0,force_india,2008
10,Super Aguri,0,super_aguri,2008
0,Brawn,172,brawn,2009
1,Red Bull,153.5,red_bull,2009
2,McLaren,71,mclaren,2009
3,Ferrari,70,ferrari,2009
4,Toyota,59.5,toyota,2009
5,BMW Sauber,36,bmw_sauber,2009
6,Williams,34.5,williams,2009
7,Renault,26,renault,2009
8,Force India,13,force_india,2009
9,Toro Rosso,8,toro_rosso,2009
0,Red Bull,498,red_bull,2010
1,McLaren,454,mclaren,2010
2,Ferrari,396,ferrari,2010
3,Mercedes,214,mercedes,2010
4,Renault,163,renault,2010
5,Williams,69,williams,2010
6,Force India,68,force_india,2010
7,Sauber,44,sauber,2010
8,Toro Rosso,13,toro_rosso,2010
9,Lotus,0,lotus_racing,2010
10,HRT,0,hrt,2010
11,Virgin,0,virgin,2010
0,Red Bull,650,red_bull,2011
1,McLaren,497,mclaren,2011
2,Ferrari,375,ferrari,2011
3,Mercedes,165,mercedes,2011
4,Renault,73,renault,2011
5,Force India,69,force_india,2011
6,Sauber,44,sauber,2011
7,Toro Rosso,41,toro_rosso,2011
8,Williams,5,williams,2011
9,Lotus,0,lotus_racing,2011
10,HRT,0,hrt,2011
11,Virgin,0,virgin,2011
0,Red Bull,460,red_bull,2012
1,Ferrari,400,ferrari,2012
2,McLaren,378,mclaren,2012
3,Lotus F1,303,lotus_f1,2012
4,Mercedes,142,mercedes,2012
5,Sauber,126,sauber,2012
6,Force India,109,force_india,2012
7,Williams,76,williams,2012
8,Toro Rosso,26,toro_rosso,2012
9,Caterham,0,caterham,2012
10,Marussia,0,marussia,2012
11,HRT,0,hrt,2012
0,Red Bull,596,red_bull,2013
1,Mercedes,360,mercedes,2013
2,Ferrari,354,ferrari,2013
3,Lotus F1,315,lotus_f1,2013
4,McLaren,122,mclaren,2013
5,Force India,77,force_india,2013
6,Sauber,57,sauber,2013
7,Toro Rosso,33,toro_rosso,2013
8,Williams,5,williams,2013
9,Marussia,0,marussia,2013
10,Caterham,0,caterham,2013
0,Mercedes,701,mercedes,2014
1,Red Bull,405,red_bull,2014
2,Williams,320,williams,2014
3,Ferrari,216,ferrari,2014
4,McLaren,181,mclaren,2014
5,Force India,155,force_india,2014
6,Toro Rosso,30,toro_rosso,2014
7,Lotus F1,10,lotus_f1,2014
8,Marussia,2,marussia,2014
9,Sauber,0,sauber,2014
10,Caterham,0,caterham,2014
0,Mercedes,703,mercedes,2015
1,Ferrari,428,ferrari,2015
2,Williams,257,williams,2015
3,Red Bull,187,red_bull,2015
4,Force India,136,force_india,2015
5,Lotus F1,78,lotus_f1,2015
6,Toro Rosso,67,toro_rosso,2015
7,Sauber,36,sauber,2015
8,McLaren,27,mclaren,2015
9,Manor Marussia,0,manor,2015
0,Mercedes,765,mercedes,2016
1,Red Bull,468,red_bull,2016
2,Ferrari,398,ferrari,2016
3,Force India,173,force_india,2016
4,Williams,138,williams,2016
5,McLaren,76,mclaren,2016
6,Toro Rosso,63,toro_rosso,2016
7,Haas F1 Team,29,haas,2016
8,Renault,8,renault,2016
9,Sauber,2,sauber,2016
10,Manor Marussia,1,manor,2016
0,Mercedes,668,mercedes,2017
1,Ferrari,522,ferrari,2017
2,Red Bull,368,red_bull,2017
3,Force India,187,force_india,2017
4,Williams,83,williams,2017
5,Renault,57,renault,2017
6,Toro Rosso,53,toro_rosso,2017
7,Haas F1 Team,47,haas,2017
8,McLaren,30,mclaren,2017
9,Sauber,5,sauber,2017
0,Mercedes,655,mercedes,2018
1,Ferrari,571,ferrari,2018
2,Red Bull,419,red_bull,2018
3,Renault,122,renault,2018
4,Haas F1 Team,93,haas,2018
5,McLaren,62,mclaren,2018
6,Force India,52,force_india,2018
7,Sauber,48,sauber,2018
8,Toro Rosso,33,toro_rosso,2018
9,Williams,7,williams,2018
0,Mercedes,739,mercedes,2019
1,Ferrari,504,ferrari,2019
2,Red Bull,417,red_bull,2019
3,McLaren,145,mclaren,2019
4,Renault,91,renault,2019
5,Toro Rosso,85,toro_rosso,2019
6,Racing Point,73,racing_point,2019
7,Alfa Romeo,57,alfa,2019
8,Haas F1 Team,28,haas,2019
9,Williams,1,williams,2019
0,Mercedes,573,mercedes,2020
1,Red Bull,319,red_bull,2020
2,McLaren,202,mclaren,2020
3,Racing Point,195,racing_point,2020
4,Renault,181,renault,2020
5,Ferrari,131,ferrari,2020
6,AlphaTauri,107,alphatauri,2020
7,Alfa Romeo,8,alfa,2020
8,Haas F1 Team,3,haas,2020
9,Williams,0,williams,2020
0,Mercedes,587.5,mercedes,2021
1,Red Bull,559.5,red_bull,2021
2,Ferrari,307.5,ferrari,2021
3,McLaren,269,mclaren,2021
4,Alpine F1 Team,149,alpine,2021
5,AlphaTauri,120,alphatauri,2021
6,Aston Martin,77,aston_martin,2021
7,Williams,23,williams,2021
8,Alfa Romeo,13,alfa,2021
9,Haas F1 Team,0,haas,2021
